name;image;year;power_hp;torque_nm;engine_type;displacement_cc;cylinders;max_speed_kmh;acceleration_0_100;weight_kg;production_units;current_price_euro;description;drive;intake
Abarth Fiat 131;foto/abarth_fiat_131_1980.jpg;1980;140;201;I4 DOHC;1995;4;190;7.6;1050;400;60000;Versione da rally della Fiat 131 preparata da Abarth, vincitrice di tre titoli mondiali WRC;RWD;Aspirato
Acura Integra Type R;foto/acura_integra_type_r_2001.jpg;2001;195;186;I4 VTEC;1797;4;233;6.7;1118;3823;60000;Leggendaria sportiva Honda con motore VTEC e telaio affinato per la pista;FWD;Aspirato
Acura NSX;foto/acura_nsx_1991.jpg;1991;274;285;V6 VTEC;2977;6;270;5.5;1350;18685;130000;Supercar giapponese sviluppata con Ayrton Senna, rivoluzionaria per affidabilità e usabilità;RWD;Aspirato
Alfa Romeo 155 Q4;foto/alfa_romeo_155_q4_1992.jpg;1992;190;290;I4 Turbo;1995;4;225;7.0;1400;2767;40000;Versione integrale della berlina sportiva con tecnologia derivata dalla Lancia Delta;AWD;Turbo
Alfa Romeo 155 V6 TI;foto/alfa_romeo_155_v6_ti_1993.jpg;1993;420;390;V6;2498;6;300;4.5;1060;38;180000;Dominatrice del DTM con vittoria al primo anno, guidata da Nicola Larini;RWD;Turbo
Alfa Romeo 2000 GT Veloce;foto/alfa_romeo_2000_gtv_1971.jpg;1971;132;178;I4 Twin Cam;1962;4;200;8.5;1040;37459;60000;Elegante coupé Bertone con il mitico motore bialbero Nord;RWD;Aspirato
Alfa Romeo 75 Turbo Evoluzione;foto/alfa_romeo_75_turbo_evo_1987.jpg;1987;155;226;I4 Turbo;1762;4;215;6.9;1100;500;45000;Rara versione potenziata della berlina sportiva per omologazione;RWD;Turbo
Alfa Romeo Montreal;foto/alfa_romeo_montreal_1970.jpg;1970;200;235;V8;2593;8;220;7.1;1270;3925;130000;Coupé di lusso con motore derivato dalla 33 Stradale, design di Marcello Gandini;RWD;Aspirato
Alpine A110;foto/alpine_a110_1973.jpg;1973;140;182;I4;1605;4;210;7.5;695;7579;110000;Leggendaria sportiva francese, plurivittoriosa nei rally degli anni '70;RWD;Aspirato
Alpine A610 Turbo;foto/alpine_a610_turbo_1991.jpg;1991;250;350;V6 Turbo;2975;6;265;5.9;1420;818;70000;Ultima Alpine classica prima della rinascita, evoluzione della A310 con motore PRV;RWD;Turbo
Audi Quattro S1 Rally;foto/audi_quattro_s1_rally_1985.jpg;1985;500;590;I5 Turbo;2110;5;260;3.1;1090;224;1000000;Mostro del Gruppo B con oltre 500 CV e trazione integrale, icona dei rally anni '80;AWD;Turbo
Audi R8 GT;foto/audi_r8_gt_2011.jpg;2011;560;540;V10;5204;10;320;3.6;1525;333;200000;Versione alleggerita e potenziata della supercar R8, prodotta in serie limitata;AWD;Aspirato
Audi RS4 B7;foto/audi_rs4_b7_2006.jpg;2006;420;430;V8;4163;8;250;4.8;1725;10048;45000;Station wagon ad alte prestazioni con V8 aspirato da 8250 giri/min;AWD;Turbo
Audi S2;foto/audi_s2_1990.jpg;1990;220;309;I5 Turbo;2226;5;246;5.7;1350;9488;40000;Evoluzione stradale della Quattro con motore 5 cilindri turbo;AWD;Turbo
Audi Sport Quattro;foto/audi_sport_quattro_1984.jpg;1984;306;350;I5 Turbo;2133;5;250;4.9;1298;214;450000;Versione accorciata della Quattro per omologazione Gruppo B;AWD;Turbo
